name,id
肖申克的救赎,1
霸王别姬,2
这个杀手不太冷,3
阿甘正传,4
美丽人生,5
泰坦尼克号,6
千与千寻,7
辛德勒的名单,8
盗梦空间,9
忠犬八公的故事,10
机器人总动员,11
三傻大闹宝莱坞,12
海上钢琴师,13
放牛班的春天,14
楚门的世界,15
大话西游之大圣娶亲,16
星际穿越,17
龙猫,18
教父,19
熔炉,20
无间道,21
疯狂动物城,22
当幸福来敲门,23
怦然心动,24
触不可及,25
蝙蝠侠：黑暗骑士,26
乱世佳人,27
活着,28
少年派的奇幻漂流,29
控方证人,30
天堂电影院,31
指环王3：王者无敌,32
鬼子来了,33
十二怒汉,34
天空之城,35
摔跤吧！爸爸,36
飞屋环游记,37
大话西游之月光宝盒,38
搏击俱乐部,39
哈尔的移动城堡,40
罗马假日,41
闻香识女人,42
辩护人,43
窃听风暴,44
末代皇帝,45
两杆大烟枪,46
飞越疯人院,47
死亡诗社,48
寻梦环游记,49
素媛,50
指环王2：双塔奇兵,51
教父2,52
V字仇杀队,53
指环王1：魔戒再现,54
狮子王,55
饮食男女,56
海豚湾,57
美丽心灵,58
情书,59
钢琴家,60
本杰明·巴顿奇事,61
看不见的客人,62
美国往事,63
黑客帝国,64
西西里的美丽传说,65
小鞋子,66
哈利·波特与魔法石,67
大闹天宫,68
拯救大兵瑞恩,69
让子弹飞,70
致命魔术,71
七宗罪,72
音乐之声,73
被嫌弃的松子的一生,74
低俗小说,75
猫鼠游戏,76
沉默的羔羊,77
天使爱美丽,78
勇敢的心,79
蝴蝶效应,80
剪刀手爱德华,81
春光乍泄,82
心灵捕手,83
禁闭岛,84
布达佩斯大饭店,85
穿条纹睡衣的男孩,86
入殓师,87
阿凡达,88
幽灵公主,89
阳光灿烂的日子,90
致命ID,91
加勒比海盗,92
第六感,93
断背山,94
狩猎,95
重庆森林,96
摩登时代,97
玛丽和马克思,98
喜剧之王,99
告白,100
消失的爱人,101
大鱼,102
一一,103
射雕英雄传之东成西就,104
阳光姐妹淘,105
爱在黎明破晓前,106
甜蜜蜜,107
小森林 夏秋篇,108
请以你的名字呼唤我,109
侧耳倾听,110
驯龙高手,111
红辣椒,112
倩女幽魂,113
恐怖直播,114
风之谷,115
超脱,116
爱在日落黄昏时,117
上帝之城,118
菊次郎的夏天,119
幸福终点站,120
哈利·波特与死亡圣器(下),121
小森林 冬春篇,122
7号房的礼物,123
杀人回忆,124
借东西的小人阿莉埃蒂,125
神偷奶爸,126
蝙蝠侠：黑暗骑士崛起,127
萤火之森,128
唐伯虎点秋香,129
超能陆战队,130
怪兽电力公司,131
岁月神偷,132
电锯惊魂,133
无人知晓,134
七武士,135
谍影重重3,136
真爱至上,137
疯狂原始人,138
喜宴,139
英雄本色,140
东邪西毒,141
萤火虫之墓,142
贫民窟的百万富翁,143
血战钢锯岭,144
黑天鹅,145
记忆碎片,146
傲慢与偏见,147
时空恋旅人,148
心迷宫,149
纵横四海,150
荒蛮故事,151
雨人,152
教父3,153
达拉斯买家俱乐部,154
完美的世界,155
玩具总动员3,156
花样年华,157
卢旺达饭店,158
海边的曼彻斯特,159
被解救的姜戈,160
恋恋笔记本,161
你看起来好像很好吃,162
三块广告牌,163
海洋,164
虎口脱险,165
头脑特工队,166
二十二,167
你的名字。,168
无敌破坏王,169
冰川时代,170
雨中曲,171
我是山姆,172
燃情岁月,173
爆裂鼓手,174
人工智能,175
未麻的部屋,176
穿越时空的少女,177
模仿游戏,178
一个叫欧维的男人决定去死,179
魂断蓝桥,180
房间,181
猜火车,182
忠犬八公物语,183
魔女宅急便,184
恐怖游轮,185
罗生门,186
完美陌生人,187
阿飞正传,188
哪吒闹海,189
香水,190
黑客帝国3：矩阵革命,191
海街日记,192
朗读者,193
浪潮,194
可可西里,195
谍影重重2,196
谍影重重,197
牯岭街少年杀人事件,198
战争之王,199
地球上的星星,200
天书奇谭,201
惊魂记,202
青蛇,203
疯狂的石头,204
海蒂和爷爷,205
一次别离,206
终结者2：审判日,207
初恋这件小事,208
源代码,209
追随,210
步履不停,211
小萝莉的猴神大叔,212
新龙门客栈,213
再次出发之纽约遇见你,214
爱在午夜降临前,215
撞车,216
梦之安魂曲,217
无耻混蛋,218
城市之光,219
东京物语,220
彗星来的那一夜,221
绿里奇迹,222
血钻,223
2001太空漫游,224
功夫,225
这个男人来自地球,226
E.T. 外星人,227
聚焦,228
末路狂花,229
奇迹男孩,230
变脸,231
发条橙,232
勇闯夺命岛,233
黑鹰坠落,234
黄金三镖客,235
秒速5厘米,236
疯狂的麦克斯4：狂暴之路,237
非常嫌疑犯,238
我爱你,239
国王的演讲,240
卡萨布兰卡,241
千钧一发,242
遗愿清单,243
美国丽人,244
驴得水,245
四个春天,246
新世界,247
荒岛余生,248
釜山行,249
枪火,250
